id	label
Q14623217	Sergi Samper
Q5129374	Claudio Guzmán
Q3728410	Rob Schmidt
Q7749033	The Lover's Gift
Q4622	Francesco Filelfo
Q187019	Philip Roth
Q51570	George Roy Hill
Q543563	Phillip Noyce
Q6804674	Mechanized Warfare
Q2118568	RJ Mitte
Q314490	Gorm the Old
Q14623727	Short Term 12
Q934251	Bedazzled
Q1177114	David Peoples
Q17074398	Monica
Q55221	Alexander Korda
Q1656254	I Think I Love My Wife
Q5439532	Feast III: The Happy Finish
Q390779	Arabella
Q486243	Goodhue County
Q7356833	Rodney Adler
Q1773	Riga
Q2338093	Battle of Jaquijahuana
Q2611379	22998 Waltimyer
Q507957	Orange County
Q195332	Antonio Pierce
Q263094	Elizabeth Stride
Q7831278	Tracey Ullman: Live and Exposed
Q11648545	Michael Kohlhaas
Q16843803	Tyler Hansen
Q1363115	Cheshire
Q6775811	Martin Jeppesen
Q5234545	David H. McNerney
Q548748	Suleiman Frangieh
Q6231972	John Evan Thomas
Q5495871	Fred Martin
Q3100381	Kujtim Çashku
Q2454630	Eric Bloom
Q7308292	Reggie Rembert
Q215355	Sigismund von Braun
Q1088058	Enemy Mine
Q548815	9498 Westerbork
Q4943380	Edith Maud Cook
Q442783	Bernardi Ramazzini
Q5555327	Ghana
Q584364	Henry Lillie Pierce
Q208189	real-time strategy
Q112686	Williamson County
Q980587	William W. Campbell
Q172030	McLaren
Q2707741	Secret Treaties
Q684756	2814 Vieira
Q720935	Geoff Courtnall
Q16244342	Mike Morris
Q981477	Robinson
Q3816394	Konrad Warzycha
Q6514652	Lee Nerison
Q6114114	Jack Miller
Q16234298	Cole Vosbury
Q5307222	Drew Macias
Q2924879	Brian Cashman
Q737547	Motherwell
Q3846379	Marco Ponti
Q4045545	Nue
Q6179503	Jenny Villiers
Q8350	trombone
Q4186	Harz
Q1456475	Neo Contra
Q3426019	René Cloërec
Q2621947	15228 Ronmiller
Q58117	Moussa Faki
Q669655	3017 Petrovič
Q503201	Charles Victoire Emmanuel Leclerc
Q1395301	Tony Asher
Q1380505	Mel Stuart
Q399637	Haruna Kojima
Q3460480	Highland Mills
Q60917	Barbara Sukowa
Q5309286	Drums O' Voodoo
Q2002163	BP Pedestrian Bridge
Q858	Syria
Q2915395	Kit Lambert
Q205148	Filippo Lippi
Q8061077	Yume Miru Uchuu
Q6898606	Monday's Child
Q6374646	Kasper Barfoed
Q2859108	Aqib Talib
Q855141	Bhuvan Shome
Q5210459	Dale Gray
Q7287720	Ralph Johnson
Q1563749	Juca de Oliveira
Q7560397	Somewhere in the Swamps of Jersey
Q7156926	Payton Jordan
Q2040254	Premaloka
Q1066953	Charlie Monroe
Q490423	Rice County
Q7278378	Raadha Aur Seeta
Q1968839	Paul Weitz
Q885666	Blue Collar
Q3630	Jakarta
Q65279	Frits Clausen
Q4982326	Time Traveller: The Girl Who Leapt Through Time
Q3764272	Gilda Marchiò
Q333981	Yahya Khan
Q260119	Eudokia Ingerina
Q304701	Bradley Pierce
Q357291	Alfredo Kraus
Q1226171	Dina Galli
Q1090769	8668 Satomimura
Q6230415	John Dunjee
Q810196	Basingstoke
Q688681	Martin Disteli
Q376276	Laxminarayan Pandey
Q5294443	Donald Gray
Q5444012	Ferenc Gordon
Q2143077	Alessandro Antonelli
Q1501379	Parker Brothers
Q472105	The Return of the Musketeers
Q1120576	Communist Party of Britain
Q6210003	Joe Genewich
Q8877	Steven Spielberg
Q312078	Speed Racer
Q5692711	Heartbreaker
Q744138	Lempira Department
Q11163075	In Absentia
Q2412405	The Last Witness
Q2713766	Fabrizio I Colonna
Q7769240	The Tiger's Daughter
Q3416101	Rachel Hayward
Q6120942	Jacques Williams
Q575306	Cairo
Q282743	12526 de Coninck
Q1130019	Kremlin Wall Necropolis
Q4752846	Ancient God of Evil
Q1148376	Matt Beaumont
Q1929407	Romas Kalanta
Q1671523	Into the Sun
Q745850	Sticky Fingers
Q1351392	Eric Kress
Q956883	Carnatic music
Q626869	Damaso Espino
Q276421	Mary Eleanor Wilkins Freeman
Q7730426	The Divine One
Q289441	George Hendrik Breitner
Q21791	Nadine Strossen
Q7349873	Robert Smith
Q1156526	Minus the Machine
Q325283	Artemis Fowl
Q1396395	Neil Ashcroft
Q3063880	Fabrice Giger
Q262314	Chris Rea
Q2747238	Carlos Gómez
Q3268923	Bowerbirds
Q6943830	Mutharamkunnu P.O.
Q71247	Jingzhou
Q602353	Watts
Q11736	Tianjin
Q7733824	The Fighting Devil Dogs
Q27141	Clupeidae
Q2922966	Boxing Legends of the Ring
Q7347971	Robert Neal Marshall
Q4707649	Alan Robson
Q258981	Lugoj
Q85	Cairo
Q372256	Don McKellar
Q6514520	Lee Meager
Q4942825	Boogeymen: The Killer Compilation
Q66599	Valley Head
Q16008746	Louis Marcien Marion
Q7414	The Walt Disney Company
Q2546081	George Etherege
Q720742	Robert Goulet
Q119336	Rolf Henne
Q350555	Arūnas Matelis
Q5963368	Q5963368
Q2075102	Blue Hawaii
Q1570859	Waalbrug
Q723378	Gordon Gray
Q318076	Abdul Kerim Pasha
Q437490	Barbara La Marr
Q291577	Cristina Scabbia
Q7325368	Richard E. Ellsworth
Q7717524	The Big Bluff
Q3546397	Ayumi Takano
Q6220464	John Ball
Q824243	Gerald Ashby
Q6524681	Leon Haywood
Q2484156	Freak Show
Q7176694	Peter Drummond
Q293176	Molly Bee
Q925877	Gösta Ekman
Q3420539	Ray McCarey
Q11792043	Niki Sullivan
Q7613085	Steve Kuczek
Q7262034	Tony Camazzola
Q1143738	Jade Empire
Q6092123	It Was All a Dream
Q3246690	Kazuo Otani
Q1763846	The Road to You
Q642779	Tulsa
Q16257670	Iss Pyaar Ko Kya Naam Doon?...Ek Baar Phir
Q5417701	Everybody Dies
Q1181282	Summerhill
Q3173624	Jean Monier
Q687428	Maria Bartiromo
Q7305832	Redfern Froggatt
Q1273666	Entertainment One Music
Q7550476	Social Circus
Q5643782	Halvseint
Q681006	Emerson String Quartet
Q4017905	Walter De Vecchi
Q3639416	Snow White and the Three Stooges
Q4055572	Akhmed Avdorkhanov
Q2439537	Tom Brower
Q239897	Joann Sfar
Q1755547	Leonard Part 6
Q339222	Blast Corps
Q16204593	Matt Duke
Q318851	Stade Louis II
Q16087938	Q16087938
Q18030614	Chloe Pirrie
Q430537	8788 Labeyrie
Q1937820	Under Great White Northern Lights
Q217039	Rotherham
Q16145966	Rachael Ancheril
Q312967	Guru Gobind Singh
Q467635	multiple myeloma
Q6228408	John Dale
Q1029283	David Pingree
Q2670784	Last Night on Earth
Q2030682	Room 6
Q5280962	Dirtie Blonde
Q484746	Temptation of Wife
Q5048869	Casino Night
Q3876813	Nighty Night
Q12214	smallpox
Q972424	old-time music
Q4542027	(18529) 1996 WK3
Q1192017	9544 Scottbirney
Q5102176	Chit Chat Von Loopin Stab
Q1820453	Sportsmen Acres Community
Q2000924	Louise Glaum
Q223768	McFly
Q81033	Monterrey
Q5628181	H. E. A. Cotton
Q156747	Poltava
Q5443800	Ferdinand Anton Danneskiold-Laurvig
Q445765	Dave Gibbons
Q5178960	Coven
Q152875	4171 Carrasco
Q5181588	Craig Whyte
Q6238862	John Henry Kreitler
Q1062804	Chappelle's Show
Q76355	Christoffer Gabel
Q1001166	Buddy Childers
Q1188691	Peace Bridge
Q3484001	Silver Skates
Q537842	Elizabeth Bentley
Q3126459	Hamilton Lyster Reed
Q16329223	Giorgos Kimoulis
Q828322	platform game
Q732135	Chrisye
Q1853270	Starship Troopers 2: Hero of the Federation
Q2618908	They Saved Lisa's Brain
Q5429192	Faded Love
Q6447106	Kurt Vonnegut, Sr.
Q2585580	Lyn Collingwood
Q7203389	Playing Columbine
Q3266563	Access
Q7346593	Robert L. Lippert
Q670305	Actriz
Q7117525	P. S. Veerappa
Q6195525	Jim Heise
Q3944938	Saigon Kick
Q3118802	Robert Sapolsky
Q1165439	JLS
Q10334292	Márcio Buzelin
Q2214263	21458 Susank
Q3793410	Appointment with Danger
Q14278	John Frederick William Herschel
Q2062140	Swingers
Q1667271	Mattias Östberg
Q5422354	Extreme Measures
Q5258645	Dennis Leonard
Q178068	Wittgenstein
Q4214157	Ruben Karapetyan
Q434601	Franz Schmidt
Q509564	5128 Wakabayashi
Q5718146	Bengt Ernryd
Q243041	Siouxsie Sioux
Q16246484	Andamion Murataj
Q3762191	Giacomo Modica
Q38848	heavy metal
Q1007923	Daniele Luchetti
Q217467	art rock
Q165318	Crime and Punishment
Q7004238	Never Say Never
Q7149626	Paul Butcher
Q951531	Paris Barclay
Q8057517	You So Crazy
Q1502543	8486 Asherschel
Q6755389	Marc Bendavid
Q3361615	Palmer Hayden
Q13474373	professional wrestler
Q454850	Ossie Schectman
Q13426571	Tapir Gao
Q12590232	The First Snow
Q16267175	Michael Jordan in Flight
Q1711833	Julia Donaldson
Q6289059	Josh Klein-Davies
Q902695	David Quinn
Q3279033	Who's Been Sleeping in My Bed?
Q4251150	Carolyn Mitchell
Q25369	Kobe Bryant
Q1176577	David Sedaris
Q8030701	Woman Thou Art Loosed
Q7150274	Paul Dickey
Q1403510	The Invitation
Q949784	Caro diario
Q1837775	Jackie Collins
Q3064461	Robin McKinley
Q2005135	The Weapon Shops of Isher
Q946169	Metal Church
Q638428	Freeze Frame
Q5601304	Toronto - Greatest Hits
Q5121484	Circle of Power
Q708899	Gregg Araki
Q8064769	Zaib-un-Nissa Hamidullah
Q4839183	Back Track
Q883179	blaxploitation film
Q5444682	Fernando Domingos de Moura
Q1344755	Jo Bonner
Q927245	Third Watch
Q7781496	Theo Tams
Q7445965	Seetee Ship
Q25279	Curaçao
Q3767380	John Juvenal Ancina
Q535642	Die You Zombie Bastards!
Q6900120	Monica Young
Q493794	Dubuque
Q721897	George Barnes
Q2270145	Damon Harris
Q7407437	Sam Durant
Q968565	William Tenn
Q6013749	inauguration of James K. Polk
Q1940772	Celcius
Q1104502	Karaš
Q4570667	Redeeming Love
Q1755987	Ao Meu Brasil
Q1173028	Dauria
Q2531243	Kitchen Nightmares
Q5486720	Frank Funk
Q6152677	Jane Rogers
Q1616888	Hey Good Lookin'
Q563515	Arnulf Rainer
Q1615684	Hess Corporation
Q4963082	Brian Bedol
Q3146417	I'm a Man
Q1580454	Naomi Krauss
Q64049	Friedrich Tiedemann
Q106559	Asaph Hall
Q2324887	Bullhead
Q6388078	Ken Mandelbaum
Q7904123	Uyarthiru 420
Q69349	Lothar Späth
Q669127	Vagrant Records
Q1302078	Over 21
Q11377308	Takahiro Imanami
Q331714	Absalom Willis Robertson
Q551305	Michael Dudikoff
Q165745	Mercury Records
Q1335201	St Martin-in-the-Fields, Westminster
Q4720886	Alexandre Orion
Q5499128	Frederick Willoughby
Q654283	Def Jam Recordings
Q7786973	Thomas Albert Andrew Becker
Q5449435	Final Score
Q2314831	The Deaths of Ian Stone
Q6172177	Jeanne Pruett
Q383700	Marvel vs. Capcom 2: New Age of Heroes
Q6694920	Lu Xuechang
Q469764	Timothy Treadwell
Q3375266	Matt Gentry
Q790686	Avex Group
Q925438	Rogue Trooper
Q216961	Eurodance
Q6894730	Moira Lynd
Q5440584	Federalist No. 15
Q1658492	Ninja Gaiden II: The Dark Sword of Chaos
Q5081976	Charles Regan
Q913061	Brian Selznick
Q2299344	The Stepfather
Q262199	Margit Sandemo
Q14492072	Gary Seitz
Q888466	Bobby Broom
Q2829062	Akira Fubuki
Q5429804	Fair Ground
Q16731931	Randy Mann
Q561484	Antonello Venditti
Q151506	3405 Daiwensai
Q5712303	Hemlock society
Q806349	bandleader
Q448142	Grigory Semyonov
Q6415432	Kirk Fox
Q839386	Spuiten en Slikken
Q6505386	Lay Raksmey
Q49724	Hoobastank
Q8015780	William Moore Benidickson
Q204523	Wild Man Fischer
Q7419370	Santa Claws
Q8704	Walt Disney
Q170252	Los del Río
Q535776	Tyler McVey
Q5291456	Don't Be a Sucker!
Q817649	Benjamin Pierce
Q311263	John Hughes
Q349211	Leka I, Crown Prince of Albania
Q764442	Alan da Silva Souza
Q3283846	The Super 6
Q3365095	Paris, Palace Hôtel
Q2377261	The Law Is the Law
Q882	Charlie Chaplin
Q934640	Patrick Marber
Q2861964	Armand Schaefer
Q1156921	Wildboyz
Q5924410	Hsu Ming-Chieh
Q2422991	Knight Lore
Q312046	Alexandros Papagos
Q498045	Takuro
Q60487	The Twilight Saga: Breaking Dawn – Part 2
Q3849543	Mark Rogers
Q6697025	Lucien Barbarin
Q848825	Autumn Marathon
Q3350190	Old Flames
Q296641	Paul Hogan
Q1313744	Scott Kosar
Q1285643	Edmond Hoyle
Q455019	Mary Frances of the Five Wounds of Jesus
Q33231	photographer
Q965918	Charles Vanel
Q4905535	Big Daddy
Q5002178	Buster Rhymes
Q6831896	Michael Kirk
Q4733561	Alma Julia Hightower
Q714880	Damon Runyon
Q3657	Rietavas
Q5422551	Eyal Almoshnino
Q147100	2042 Sitarski
Q543622	Mario Sábato
Q159457	Faro
Q2452001	Death Ship
Q16242055	All the People Said Amen
Q11806	John Adams
